grid_cell_id,latitude,longitude,spatial_block_id,spatial_block_name,elevation_m,slope_deg,static_susceptibility_P_S,dynamic_trigger_P_D,coupled_risk_score,alert_tier_code,alert_tier_name,alert_color_hex,recommended_action
CELL_MEG_0021,25.1035,92.07484,5,Jaintia Hills Block,1127.3,19.6,0.0517,0.6284,0.0325,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0022,25.6567,90.802,1,Garo Hills Block,261.0,33.6,0.0208,0.6284,0.013,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0023,25.69917,91.29809,4,Ri-Bhoi Block,1070.6,26.2,0.2535,0.6284,0.1593,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0024,25.54854,91.70409,3,East Khasi Block,1666.2,18.0,0.3036,0.6284,0.1908,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0025,25.70596,91.34706,4,Ri-Bhoi Block,1064.6,29.9,0.0457,0.6284,0.0287,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0026,25.24918,91.6031,3,East Khasi Block,1223.8,34.6,0.0274,0.6284,0.0172,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0027,25.92059,91.87528,4,Ri-Bhoi Block,1335.1,29.2,0.03,0.6284,0.0188,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0028,25.14171,90.68056,1,Garo Hills Block,66.9,15.7,0.0397,0.6284,0.0249,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0029,25.18216,92.08876,5,Jaintia Hills Block,1307.2,24.6,0.0546,0.6284,0.0343,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0030,25.40273,91.87375,3,East Khasi Block,1705.2,31.0,0.0496,0.6284,0.0312,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0031,25.03519,90.83026,1,Garo Hills Block,156.2,35.6,0.0183,0.6284,0.0115,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0032,25.21573,91.22711,2,West Khasi Block,759.6,24.9,0.0272,0.6284,0.0171,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0033,25.07629,91.26684,2,West Khasi Block,841.9,22.0,0.0722,0.6284,0.0454,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0034,25.55204,90.41528,1,Garo Hills Block,68.0,15.8,0.0784,0.6284,0.0493,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0035,25.89163,92.12108,4,Ri-Bhoi Block,1269.9,32.9,0.0182,0.6284,0.0114,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0036,25.43375,91.60497,3,East Khasi Block,1450.8,34.7,0.0362,0.6284,0.0228,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0037,25.94321,92.70572,4,Ri-Bhoi Block,535.3,24.8,0.0287,0.6284,0.018,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0038,25.09735,91.18723,2,West Khasi Block,694.2,20.2,0.0447,0.6284,0.0281,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0039,25.94083,92.30119,4,Ri-Bhoi Block,1033.2,16.6,0.0433,0.6284,0.0272,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0040,25.4809,90.69993,1,Garo Hills Block,180.8,23.4,0.0695,0.6284,0.0437,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0041,25.35952,91.85817,3,East Khasi Block,1647.3,23.3,0.0652,0.6284,0.041,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0042,25.86713,90.9778,1,Garo Hills Block,450.3,26.0,0.0356,0.6284,0.0224,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0043,25.23969,92.81409,5,Jaintia Hills Block,406.0,26.0,0.078,0.6284,0.049,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0044,25.24103,91.25386,2,West Khasi Block,803.3,26.4,0.0225,0.6284,0.0141,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0045,25.94893,89.80054,1,Garo Hills Block,25.0,25.2,0.0146,0.6284,0.0092,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0046,25.02647,91.06965,2,West Khasi Block,445.5,34.2,0.0604,0.6284,0.038,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0047,25.02228,91.38482,2,West Khasi Block,785.1,35.5,0.0842,0.6284,0.0529,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0048,25.30175,91.36214,2,West Khasi Block,1038.0,27.9,0.0411,0.6284,0.0259,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0049,25.31247,91.6512,3,East Khasi Block,1391.8,25.6,0.085,0.6284,0.0534,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0050,25.6675,91.87905,4,Ri-Bhoi Block,1764.2,35.4,0.0294,0.6284,0.0185,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0051,25.60135,91.80537,3,East Khasi Block,1723.9,22.1,0.0607,0.6284,0.0381,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0052,25.32652,91.741,3,East Khasi Block,1425.1,15.2,0.0893,0.6284,0.0561,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0053,25.85024,90.52709,1,Garo Hills Block,91.0,31.5,0.0134,0.6284,0.0084,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0054,26.04383,89.81514,1,Garo Hills Block,25.0,33.1,0.0143,0.6284,0.009,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0055,25.11875,91.76617,3,East Khasi Block,1206.6,14.6,0.0618,0.6284,0.0389,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0056,25.82896,92.48693,4,Ri-Bhoi Block,849.2,26.9,0.056,0.6284,0.0352,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0057,25.60857,91.27077,2,West Khasi Block,1000.9,22.4,0.1646,0.6284,0.1034,Level 2: Yellow,Advisory / Early Warning Watch,#eab308,Advisory notice. Maintenance standby and slope drainage watch.
CELL_MEG_0058,25.5541,92.0475,5,Jaintia Hills Block,1686.8,14.9,0.2483,0.6284,0.156,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0059,25.98348,92.08986,4,Ri-Bhoi Block,1120.0,19.7,0.0312,0.6284,0.0196,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0060,25.1976,91.28167,2,West Khasi Block,801.5,24.8,0.0196,0.6284,0.0123,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0061,25.11811,91.78821,3,East Khasi Block,1220.2,15.6,0.0574,0.6284,0.0361,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0062,25.33156,91.59712,2,West Khasi Block,1407.8,22.8,0.0389,0.6284,0.0244,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0063,25.95241,92.1411,4,Ri-Bhoi Block,1193.2,24.6,0.1101,0.6284,0.0692,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0064,26.02917,91.51278,4,Ri-Bhoi Block,1023.4,21.4,0.0188,0.6284,0.0118,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0065,25.77498,90.42021,1,Garo Hills Block,54.5,15.9,0.0249,0.6284,0.0157,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0066,25.05763,92.13627,5,Jaintia Hills Block,1088.2,33.4,0.027,0.6284,0.0169,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0067,25.52143,91.53102,2,West Khasi Block,1309.0,17.7,0.0738,0.6284,0.0464,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0068,25.61537,92.08095,5,Jaintia Hills Block,1538.8,26.2,0.0874,0.6284,0.0549,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0069,25.3891,90.28978,1,Garo Hills Block,108.3,27.7,0.0828,0.6284,0.052,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0070,25.3696,92.07194,5,Jaintia Hills Block,1405.3,19.0,0.0492,0.6284,0.0309,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0071,25.82486,91.13317,4,Ri-Bhoi Block,805.6,31.0,0.0127,0.6284,0.008,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0072,25.62318,91.826,3,East Khasi Block,1730.8,28.2,0.2266,0.6284,0.1424,Level 2: Yellow,Advisory / Early Warning Watch,#eab308,Advisory notice. Maintenance standby and slope drainage watch.
CELL_MEG_0073,25.56857,91.872,3,East Khasi Block,1770.6,24.2,0.4935,0.6284,0.3101,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0074,25.67792,91.85418,4,Ri-Bhoi Block,1729.3,32.9,0.0439,0.6284,0.0276,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0075,25.51125,92.73556,5,Jaintia Hills Block,682.7,23.7,0.0399,0.6284,0.0251,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0076,25.11586,91.60145,3,East Khasi Block,1152.8,23.6,0.0268,0.6284,0.0168,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0077,25.81074,91.8849,4,Ri-Bhoi Block,1414.3,29.4,0.0206,0.6284,0.013,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0078,25.26038,90.64174,1,Garo Hills Block,25.0,30.4,0.0193,0.6284,0.0121,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0079,25.76699,90.41596,1,Garo Hills Block,48.3,15.8,0.1259,0.6284,0.0791,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0080,25.26837,91.73674,3,East Khasi Block,1443.0,24.4,0.0551,0.6284,0.0346,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0081,25.3031,91.61049,3,East Khasi Block,1355.9,27.1,0.2476,0.6284,0.1556,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0082,25.97125,91.54861,4,Ri-Bhoi Block,1161.9,17.2,0.0385,0.6284,0.0242,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0083,25.06924,92.07427,5,Jaintia Hills Block,1053.3,25.4,0.0158,0.6284,0.0099,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0084,25.66744,90.80619,1,Garo Hills Block,259.8,33.7,0.0183,0.6284,0.0115,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0085,25.55636,91.85822,3,East Khasi Block,1763.8,22.5,0.171,0.6284,0.1074,Level 2: Yellow,Advisory / Early Warning Watch,#eab308,Advisory notice. Maintenance standby and slope drainage watch.
CELL_MEG_0086,25.29291,90.64769,1,Garo Hills Block,92.7,24.5,0.0243,0.6284,0.0153,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0087,25.14965,89.92363,1,Garo Hills Block,47.5,14.8,0.0825,0.6284,0.0519,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0088,25.64416,91.81874,3,East Khasi Block,1699.7,29.7,0.1482,0.6284,0.0932,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0089,25.45802,91.98109,3,East Khasi Block,1662.7,27.9,0.4003,0.6284,0.2515,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0090,25.31759,91.59127,2,West Khasi Block,1374.2,23.6,0.0852,0.6284,0.0535,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0091,25.21666,92.35669,5,Jaintia Hills Block,1119.5,30.7,0.0441,0.6284,0.0277,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0092,25.77204,90.04472,1,Garo Hills Block,31.6,24.0,0.0266,0.6284,0.0167,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0093,25.25583,90.6392,1,Garo Hills Block,25.0,31.2,0.021,0.6284,0.0132,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0094,25.52821,91.70967,3,East Khasi Block,1684.2,18.7,0.2533,0.6284,0.1592,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0095,25.14895,90.7579,1,Garo Hills Block,202.7,17.3,0.0126,0.6284,0.0079,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0096,25.97329,92.15065,4,Ri-Bhoi Block,1180.9,24.0,0.0172,0.6284,0.0108,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0097,25.17024,91.71425,3,East Khasi Block,1323.2,20.2,0.0389,0.6284,0.0245,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0098,25.52716,91.28193,2,West Khasi Block,933.0,18.2,0.2822,0.6284,0.1773,Level 3: Orange,Warning / Heightened Hazard Alert,#f97316,Heightened warning. Travel caution and heavy transport limits.
CELL_MEG_0099,25.32022,90.42176,1,Garo Hills Block,25.0,16.5,0.0523,0.6284,0.0329,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0100,25.41212,90.08186,1,Garo Hills Block,48.6,32.3,0.0118,0.6284,0.0074,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0101,25.06533,91.5425,2,West Khasi Block,1086.6,25.1,0.0744,0.6284,0.0468,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0102,25.23858,92.80237,5,Jaintia Hills Block,428.5,26.0,0.0578,0.6284,0.0363,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0103,25.13168,92.00264,5,Jaintia Hills Block,1238.6,14.6,0.1068,0.6284,0.0671,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0104,25.58995,91.59827,2,West Khasi Block,1430.1,26.2,0.0974,0.6284,0.0612,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0105,25.66399,92.43604,4,Ri-Bhoi Block,1046.9,35.2,0.1218,0.6284,0.0765,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0106,25.33619,91.51866,2,West Khasi Block,1288.4,14.7,0.0435,0.6284,0.0274,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0107,25.61012,91.83163,3,East Khasi Block,1745.8,26.8,0.0565,0.6284,0.0355,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0108,25.58731,91.56774,2,West Khasi Block,1382.4,22.5,0.1488,0.6284,0.0935,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0109,25.70193,90.43238,1,Garo Hills Block,25.0,21.7,0.0605,0.6284,0.038,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0110,25.64391,92.55602,5,Jaintia Hills Block,940.2,25.7,0.1556,0.6284,0.0978,Level 2: Yellow,Advisory / Early Warning Watch,#eab308,Advisory notice. Maintenance standby and slope drainage watch.
CELL_MEG_0111,26.05919,92.79027,4,Ri-Bhoi Block,406.9,25.8,0.0946,0.6284,0.0594,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0112,25.11656,91.3524,2,West Khasi Block,888.4,24.4,0.0173,0.6284,0.0109,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0113,25.65592,92.42124,4,Ri-Bhoi Block,1049.2,36.0,0.0936,0.6284,0.0588,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0114,25.08986,92.286,5,Jaintia Hills Block,988.7,18.3,0.0595,0.6284,0.0374,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0115,25.90119,92.82159,4,Ri-Bhoi Block,415.7,23.2,0.0428,0.6284,0.0269,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0116,25.41338,91.59885,2,West Khasi Block,1460.4,31.9,0.025,0.6284,0.0157,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0117,25.55125,91.92146,3,East Khasi Block,1730.8,22.8,0.6235,0.6284,0.3918,Level 4: Red,Critical / Immediate Action Trigger,#ef4444,Critical landslide hazard. Immediate emergency protocols and slope closures.
CELL_MEG_0118,25.06667,92.01042,5,Jaintia Hills Block,1089.7,22.6,0.0802,0.6284,0.0504,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0119,25.31037,91.69483,3,East Khasi Block,1402.2,21.6,0.0912,0.6284,0.0573,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0120,26.08287,91.03194,4,Ri-Bhoi Block,448.9,29.8,0.0361,0.6284,0.0227,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0121,25.14425,89.82474,1,Garo Hills Block,62.0,23.3,0.0206,0.6284,0.0129,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0122,25.09854,91.05222,2,West Khasi Block,504.6,23.2,0.0279,0.6284,0.0175,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0123,25.11309,91.35453,2,West Khasi Block,885.1,24.8,0.0177,0.6284,0.0111,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0124,25.53877,91.55007,2,West Khasi Block,1317.8,17.8,0.0477,0.6284,0.03,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0125,25.28795,91.76511,3,East Khasi Block,1452.0,20.4,0.0724,0.6284,0.0455,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0126,25.0352,92.30399,5,Jaintia Hills Block,886.0,26.4,0.028,0.6284,0.0176,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0127,25.85512,91.38636,4,Ri-Bhoi Block,1100.5,35.2,0.0395,0.6284,0.0248,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
CELL_MEG_0128,26.0522,90.35815,1,Garo Hills Block,72.7,32.8,0.0219,0.6284,0.0137,Level 1: Green,Low / Normal Baseline Monitoring,#22c55e,Routine baseline monitoring. Safe terrain condition.
